geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.54562128,-46.63929205,Akkarampalle,Andhra Pradesh
1046,-23.54608113,-46.6448203,Akkarampalle,Andhra Pradesh
1041,-23.54439216,-46.63949931,Akkarampalle,Andhra Pradesh
1035,-23.54157796,-46.64160722,Akkarampalle,Andhra Pradesh
1012,-23.5477623,-46.63536054,Akkarampalle,Andhra Pradesh
1047,-23.54627311,-46.64122517,Akkarampalle,Andhra Pradesh
1013,-23.54692321,-46.6342637,Akkarampalle,Andhra Pradesh
1029,-23.54376906,-46.63427784,Akkarampalle,Andhra Pradesh
1011,-23.54763955,-46.63603162,Akkarampalle,Andhra Pradesh
1032,-23.5384181,-46.63477838,Akkarampalle,Andhra Pradesh
1014,-23.54643534,-46.63383023,Akkarampalle,Andhra Pradesh
1039,-23.54188301,-46.63991947,Akkarampalle,Andhra Pradesh
1024,-23.54138952,-46.62989909,Akkarampalle,Andhra Pradesh
1009,-23.5469354,-46.63658793,Akkarampalle,Andhra Pradesh
1020,-23.55223547,-46.62844066,Akkarampalle,Andhra Pradesh
1043,-23.54665672,-46.64078762,Akkarampalle,Andhra Pradesh
1050,-23.54977352,-46.64559901,Akkarampalle,Andhra Pradesh
1045,-23.54159376,-46.64189379,Akkarampalle,Andhra Pradesh
1007,-23.55039252,-46.63730164,Akkarampalle,Andhra Pradesh
1005,-23.54981909,-46.63560589,Akkarampalle,Andhra Pradesh
1017,-23.55001091,-46.63116637,Akkarampalle,Andhra Pradesh
1019,-23.55215188,-46.63080225,Akkarampalle,Andhra Pradesh
1027,-23.53830117,-46.63076391,Akkarampalle,Andhra Pradesh
1033,-23.5403213,-46.63639482,Akkarampalle,Andhra Pradesh
1006,-23.55052431,-46.63669364,Akkarampalle,Andhra Pradesh
1034,-23.54239163,-46.63770928,Akkarampalle,Andhra Pradesh
1042,-23.5448736,-46.64030309,Akkarampalle,Andhra Pradesh
1040,-23.54031676,-46.63735537,Akkarampalle,Andhra Pradesh
1026,-23.5394948,-46.63284391,Akkarampalle,Andhra Pradesh
1036,-23.54170002,-46.64131782,Akkarampalle,Andhra Pradesh
1048,-23.54744892,-46.64016924,Akkarampalle,Andhra Pradesh
1002,-23.54831798,-46.6354211,Akkarampalle,Andhra Pradesh
1031,-23.53686412,-46.63349314,Akkarampalle,Andhra Pradesh
1022,-23.54498661,-46.63345367,Akkarampalle,Andhra Pradesh
1008,-23.54425493,-46.63463914,Akkarampalle,Andhra Pradesh
1010,-23.54780696,-46.63612182,Akkarampalle,Andhra Pradesh
1003,-23.54903245,-46.63531311,Akkarampalle,Andhra Pradesh
1001,-23.549292,-46.63355948,Akkarampalle,Andhra Pradesh
1015,-23.54482635,-46.63086956,Akkarampalle,Andhra Pradesh
1038,-23.54267968,-46.63819684,Akkarampalle,Andhra Pradesh
1016,-23.54849513,-46.63349063,Akkarampalle,Andhra Pradesh
