product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1e9e8ef04dbcff4541ed26657ea517e5,Perfumery,40,287,1,225,16,10,14
3aa071139cb16b67ca9e5dea641aaa2f,Art,44,276,1,1000,30,18,20
96bd76ec8810374ed1b65e291975717f,Sports_Leisure,46,250,1,154,18,9,15
cef67bcfe19066a932b7673e239eb23d,Baby,27,261,1,371,26,4,26
9dc1a7de274444849c219cff195d0b71,Housewares,37,402,4,625,20,17,13
41d3672d4792049fa1779bb35283ed13,Musical_Instruments,60,745,1,200,38,5,11
732bd381ad09e530fe0a5f457d81becb,Cool_Stuff,56,1272,4,18350,70,24,44
2548af3e6e77a690cf3eb6368e9ab61e,Furniture_Decor,56,184,2,900,40,8,40
37cc742be07708b53a98702e77a21a02,Home_Appliances,57,163,1,400,27,13,17
8c92109888e8cdf9d66dc7e463025574,Toys,36,1156,1,600,17,10,12
14aa47b7fe5c25522b47b4b29c98dcb9,Bed_Bath_Table,54,630,1,1100,16,10,16
03b63c5fc16691530586ae020c345514,Baby,49,728,4,7150,50,19,45
cf55509ea8edaaac1d28fdb16e48fc22,Musical_Instruments,43,1827,3,250,17,7,17
7bb6f29c2be57716194f96496660c7c2,Furniture_Decor,51,2083,2,600,68,11,13
eb31436580a610f202c859463d8c7415,Construction_Tools_Safety,59,1602,4,200,17,7,17
3bb7f144022e6732727d8d838a7b13b3,Sports_Leisure,22,3021,1,800,16,2,11
6a2fb4dd53d2cdb88e0432f1284a004c,Perfumery,39,346,2,400,27,5,20
a1b71017a84f92fd8da4aeefba108a24,Computers_Accessories,59,636,1,900,40,15,20
a0736b92e52f6cead290e30b578413b6,Furniture_Decor,56,296,2,1700,100,7,15
f53103a77d9cf245e579ea37e5ec51f0,Bed_Bath_Table,52,206,1,500,16,10,16
1c1890ba1779090cd54008a3c3302921,Furniture_Decor,27,158,4,2550,29,24,45
518ef5de2c2b3a255e326a4594ba15d9,Bed_Bath_Table,27,329,2,800,36,8,16
e3e020af31d4d89d2602272b315c3f6e,Health_Beauty,58,1987,3,75,21,7,13
8b41fbc2b984a12030090112324d1bc4,Baby,55,1627,1,500,20,13,13
d03bd02af9fff4b98f1c972315e5e9ef,Furniture_Decor,56,209,1,1800,40,10,30
8ba4f2a4ae695d26e5626c1bf710975e,Housewares,52,968,1,900,50,5,50
f6574524b07d5bb753bab6f35abe2d06,Luggage_Accessories,52,573,5,3600,35,25,50
c78b767da00efb70c1bcccab87c28cd5,Computers_Accessories,35,1101,2,300,42,2,30
a0253d43394dd4da9a5d7b1f546f1a32,Computers_Accessories,59,1890,2,740,23,13,13
051b9ff13dd55c0a6655a15ff296f80d,Sports_Leisure,50,529,2,3600,62,23,23
47859fca9dd7485cbd93c3e8993bb74f,Bed_Bath_Table,45,206,1,650,16,10,16
e1d1d22e9f8122a4ec1533b032c12562,Garden_Tools,49,1163,9,2150,70,8,34
20e37962088a4061d3578def47a8648b,Furniture_Decor,60,208,1,800,40,10,34
1eba879220bd0981a0e2fbab499ed4e1,Office_Furniture,57,476,1,8950,52,51,17
ce5b91848b91118daffb3af53b747475,Sports_Leisure,50,699,4,1388,34,9,31
5370b82a213393979691c98074265584,Baby,52,708,9,7950,33,30,44
b8dac5113b06a97e64943234522572b9,Auto,43,1062,2,6000,87,3,42
750cf819d127191920eda79a4b6fb479,Electronics,31,806,1,263,18,12,16
